Seed = 0

Generation = 1

     x(1)       x(2)       f(1)       CV	
   0.66156    3.41690   79.53840    0.00000 
   0.23503    3.28851   75.01524    0.00000 
   0.26759    3.12443   70.08073    0.00000 
   0.11482    3.77367  106.13146    0.00000 
   0.09758    3.34198   76.70179    0.00000 

Generation = 8

   0.24128    3.29184   75.14758    0.00000 
   0.02747    3.76915  104.60480    0.00000 
   0.78672    3.17925   67.03218    0.00000 
   0.16900    3.12628   70.20547    0.00000 
   0.55813    2.95037   64.99879    0.00000 
   0.16900    3.31890   76.06810    0.00000 
   0.96958    3.17135   63.66945    0.00000 
   0.80114    3.27794   70.79605    0.00000 
   0.21995    3.38716   79.24349    0.00000 
   0.18863    3.51120   85.98951    0.00000 
   0.14526    2.95747   67.92258    0.00000 
   0.13244    3.13466   70.34079    0.00000 
   0.04236    3.15617   70.52011    0.00000 
   0.59680    3.17925   69.44276    0.00000 
   0.24307    3.13675   70.40540    0.00000 
   0.17784    3.20068   72.04859    0.00000 
   0.38624    3.18559   71.24655    0.00000 
   0.92901    3.17925   64.70394    0.00000 
   0.11482    3.77367  106.13146    0.00000 
   0.28910    3.09839   69.46863    0.00000 
   0.26726    3.47976   84.38621    0.00000 
   0.26726    3.29184   75.15816    0.00000 
   0.27862    3.36961   78.50787    0.00000 
   0.94772    3.60214   90.17609    0.00000 
   0.16110    3.15617   70.86923    0.00000 
   0.13044    3.19732   71.86126    0.00000 
   0.78338    3.07200   63.87119    0.00000 
   0.05952    3.12628   69.96632    0.00000 
   0.04816    3.12527   69.90185    0.00000 
   0.06544    3.33854   76.36721    0.00000 
   0.55813    3.25986   72.69740    0.00000 
   0.27960    3.29143   75.14048    0.00000 
   0.37243    2.78960   66.48471    0.00000 
   0.25231    3.19729   71.96825    0.00000 
   0.20393    3.29184   75.09907    0.00000 
   0.23522    3.29143   75.12657    0.00000 
   0.26759    3.13381   70.29359    0.00000 
   0.16862    3.19732   71.94111    0.00000 
   0.83753    3.27722   70.25458    0.00000 
   0.08920    3.26473   73.75643    0.00000 

Generation = 9

   0.54980    2.87993   64.51749    0.00000 
   0.55813    2.93506   64.83634    0.00000 
   0.16900    3.12628   70.20547    0.00000 
   0.92901    3.17716   64.62582    0.00000 
   0.11386    2.92005   67.76769    0.00000 
   0.16862    3.19732   71.94111    0.00000 
   0.14526    2.95747   67.92258    0.00000 
   0.30308    3.17925   71.36870    0.00000 
   0.55813    3.25986   72.69740    0.00000 
   0.20393    3.29184   75.09907    0.00000 
   0.83753    3.27722   70.25458    0.00000 
   0.55813    2.95037   64.99879    0.00000 
   0.25231    3.19729   71.96825    0.00000 
   0.91153    3.10577   62.54548    0.00000 
   0.80114    3.27794   70.79605    0.00000 
   0.05952    3.12628   69.96632    0.00000 
   0.06622    3.22963   72.53774    0.00000 
   0.44964    3.09003   68.39756    0.00000 
   0.09783    3.15617   70.73452    0.00000 
   0.94422    3.17354   64.21791    0.00000 
   0.13044    3.19732   71.86126    0.00000 
   0.23522    3.29143   75.12657    0.00000 
   0.28910    3.17563   71.30198    0.00000 
   0.28910    2.71645   67.68607    0.00000 
   0.66146    3.02107   64.64754    0.00000 
   0.74432    3.19915   68.34835    0.00000 
   0.18311    3.19914   72.01143    0.00000 
   0.04236    3.15617   70.52011    0.00000 
   0.26759    3.13381   70.29359    0.00000 
   0.96958    3.17135   63.66945    0.00000 
   0.00319    3.45046   81.09208    0.00000 
   0.18721    3.02476   68.50539    0.00000 
   0.83653    3.07766   63.11181    0.00000 
   0.92901    3.17925   64.70394    0.00000 
   0.36883    2.67697   67.31319    0.00000 
   0.55813    3.25986   72.69740    0.00000 
   0.27960    3.29143   75.14048    0.00000 
   0.78338    3.07200   63.87119    0.00000 
   0.37243    2.78960   66.48471    0.00000 
   0.41521    3.13675   69.74032    0.00000 

Generation = 10

   0.37243    2.78960   66.48471    0.00000 
   0.09149    2.93506   67.81899    0.00000 
   0.18311    3.19914   72.01143    0.00000 
   0.55813    3.25986   72.69740    0.00000 
   0.92901    3.17925   64.70394    0.00000 
   0.34958    3.17746   71.16884    0.00000 
   0.05952    3.12628   69.96632    0.00000 
   0.94422    3.17354   64.21791    0.00000 
   0.94422    3.09071   61.47568    0.00000 
   0.55813    2.93506   64.83634    0.00000 
   0.30308    3.17925   71.36870    0.00000 
   0.78338    3.07200   63.87119    0.00000 
   0.97344    3.17333   63.67153    0.00000 
   0.37243    2.78960   66.48471    0.00000 
   0.11386    2.92005   67.76769    0.00000 
   0.43072    3.19045   71.15575    0.00000 
   0.68217    3.17716   68.39447    0.00000 
   0.54980    2.87993   64.51749    0.00000 
   0.00083    3.15617   70.30047    0.00000 
   0.86837    3.16987   65.40930    0.00000 
   0.65303    3.00858   64.54360    0.00000 
   0.41521    3.13675   69.74032    0.00000 
   0.91153    3.09236   62.15067    0.00000 
   0.83653    3.08441   63.29128    0.00000 
   0.55813    2.95037   64.99879    0.00000 
   0.80114    3.27794   70.79605    0.00000 
   0.66990    3.10577   66.42885    0.00000 
   0.84947    3.17925   66.05657    0.00000 
   0.83753    3.27722   70.25458    0.00000 
   0.28910    3.17563   71.30198    0.00000 
   0.96958    3.17135   63.66945    0.00000 
   0.74105    2.85462   61.27448    0.00000 
   0.83653    2.95358   60.52753    0.00000 
   0.14526    2.95747   67.92258    0.00000 
   0.91153    3.10577   62.54548    0.00000 
   0.14905    2.99044   68.17320    0.00000 
   0.44964    3.09003   68.39756    0.00000 
   0.92901    3.17716   64.62582    0.00000 
   0.66146    3.02107   64.64754    0.00000 
   0.40130    2.78960   66.19208    0.00000 

Generation = 11

   0.55813    2.93506   64.83634    0.00000 
   0.91153    3.10577   62.54548    0.00000 
   0.66990    3.20215   69.40416    0.00000 
   0.88487    3.07200   62.08714    0.00000 
   0.66146    3.02107   64.64754    0.00000 
   0.78014    3.13042   65.53547    0.00000 
   0.94422    3.17354   64.21791    0.00000 
   0.02389    2.74766   68.42060    0.00000 
   0.67492    2.87993   62.62194    0.00000 
   0.10469    2.76700   68.18103    0.00000 
   0.43072    3.19045   71.15575    0.00000 
   0.83653    2.95358   60.52753    0.00000 
   0.37243    2.78960   66.48471    0.00000 
   1.00361    3.14682 4922.02823    0.00000 
   0.91153    3.09236   62.15067    0.00000 
   0.16958    2.78960   67.84453    0.00000 
   0.90175    3.17925   65.18152    0.00000 
   0.44964    3.09003   68.39756    0.00000 
   0.72242    3.11272   65.88693    0.00000 
   0.54980    2.87993   64.51749    0.00000 
   0.65303    3.00858   64.54360    0.00000 
   0.55813    2.95037   64.99879    0.00000 
   0.97344    3.17333   63.67153    0.00000 
   0.14526    2.95747   67.92258    0.00000 
   0.96958    3.17135   63.66945    0.00000 
   0.86837    3.16987   65.40930    0.00000 
   0.08085    2.96881   67.98487    0.00000 
   0.74105    2.85462   61.27448    0.00000 
   0.94422    3.09071   61.47568    0.00000 
   0.92901    3.17925   64.70394    0.00000 
   0.31655    4.35616  193.92819    0.00000 
   0.09915    2.87993   67.71684    0.00000 
   0.84947    3.17925   66.05657    0.00000 
   0.83753    3.27722   70.25458    0.00000 
   0.91153    3.03022 3990.00856    0.00000 
   0.54997    2.95358   65.13801    0.00000 
   0.37243    2.78960   66.48471    0.00000 
   0.83653    3.08441   63.29128    0.00000 
   0.83653    3.08441   63.29128    0.00000 
   0.94422    3.09358   61.55968    0.00000 

Generation = 12

   0.55813    2.95037   64.99879    0.00000 
   0.84961    3.06774   62.62211    0.00000 
   0.55813    2.93506   64.83634    0.00000 
   0.80133    3.02965   62.58398    0.00000 
   0.78014    3.13042   65.53547    0.00000 
   0.83753    3.27722   70.25458    0.00000 
   0.84947    3.17925   66.05657    0.00000 
   0.67492    2.87993   62.62194    0.00000 
   0.98751    3.13728 2269.00805    0.00000 
