Seed = 0

Generation = 1

     x(1)       x(2)       f(1)       CV	
   2.84316    2.03661    0.77415    0.00000 
   2.91668    2.43775    3.46006    0.00000 
   3.09965    1.67820    1.25686    0.00000 
   3.07539    1.73570    0.86918    0.00000 
   2.99603    1.73273    1.08800    0.00000 
   2.99652    2.17996    0.58589    0.00000 
   3.08428    1.96203    0.22984    0.00000 
   2.61419    2.38497    4.86803    0.00000 
   3.04459    2.28049    1.85310    0.00000 
   3.08736    1.75615    0.76945    0.00000 
   2.78391    2.25232    1.72925    0.00000 
   2.89231    1.91205    0.72608    0.00000 
   3.00443    2.15690    0.46486    0.00000 
   3.07588    1.94609    0.18449    0.00000 
   2.97249    1.27807    6.51694    0.00000 
   3.01531    2.04390    0.05569    0.00000 
   3.07116    1.96203    0.16155    0.00000 
   2.96247    2.06156    0.07148    0.00000 
   2.99603    1.94899    0.04780    0.00000 
   2.85571    2.36772    2.36458    0.00000 
   2.97249    2.04390    0.03701    0.00000 
   2.83152    1.92179    1.35090    0.00000 
   2.90719    1.92179    0.55209    0.00000 
   3.10026    1.85521    0.42762    0.00000 
   3.10026    2.12377    0.91366    0.00000 
   3.10026    1.86014    0.41580    0.00000 
   2.98899    2.14395    0.34889    0.00000 
   2.75863    1.66468    5.13816    0.00000 
   2.99884    2.17996    0.59401    0.00000 
   3.05984    1.95936    0.11390    0.00000 
   2.91668    2.12377    0.31871    0.00000 
   3.07625    2.06156    0.38197    0.00000 
   3.04459    1.74308    0.84122    0.00000 
   3.13695    1.93568    0.61589    0.00000 
   3.04459    1.96203    0.06482    0.00000 

Generation = 8

   3.07116    1.85533    0.31933    0.00000 
   2.96439    2.08878    0.12247    0.00000 
   2.90719    1.92179    0.55209    0.00000 
   3.10026    1.85521    0.42762    0.00000 
   3.13695    1.93568    0.61589    0.00000 
   3.04459    1.96203    0.06482    0.00000 
   3.10026    1.86014    0.41580    0.00000 
   3.07625    1.73901    0.85018    0.00000 
   2.92125    2.15797    0.42925    0.00000 
   3.05984    1.95936    0.11390    0.00000 
   2.99603    1.94899    0.04780    0.00000 
   2.97249    2.04390    0.03701    0.00000 
   2.98899    2.14395    0.34889    0.00000 
   3.01531    2.04390    0.05569    0.00000 
   2.99044    2.04390    0.02840    0.00000 
   3.07116    1.96203    0.16155    0.00000 
   3.05958    2.06156    0.27447    0.00000 
   2.92417    1.70703    1.90086    0.00000 
   3.07116    1.96203    0.16155    0.00000 
   3.07625    2.06156    0.38197    0.00000 
   2.83152    1.92179    1.35090    0.00000 
   2.84316    2.03661    0.77415    0.00000 
   2.99044    2.04390    0.02840    0.00000 
   3.01205    1.89805    0.14939    0.00000 
   2.97249    2.04390    0.03701    0.00000 
   2.96247    2.06156    0.07148    0.00000 
   3.10026    2.12377    0.91366    0.00000 
   2.87914    1.92563    0.78652    0.00000 
   3.09965    1.67820    1.25686    0.00000 
   3.15730    1.85521    0.83933    0.00000 
   3.00442    1.88851    0.19133    0.00000 
   3.01564    2.04390    0.05637    0.00000 
   3.13695    1.93568    0.61589    0.00000 
   3.17035    2.32091    4.30669    0.00000 
   2.97249    2.06638    0.06835    0.00000 
   2.99652    2.17996    0.58589    0.00000 
   2.99986    2.12269    0.27057    0.00000 
   2.91668    2.12377    0.31871    0.00000 
   2.91904    2.08271    0.22313    0.00000 
   3.08428    1.96203    0.22984    0.00000 

Generation = 9

   2.97249    2.04390    0.03701    0.00000 
   3.15730    1.85521    0.83933    0.00000 
   2.97249    2.04390    0.03701    0.00000 
   3.00442    1.88851    0.19133    0.00000 
   3.17035    2.32091    4.30669    0.00000 
   2.99044    2.04390    0.02840    0.00000 
   3.07625    1.73901    0.85018    0.00000 
   3.01531    2.22030    0.99069    0.00000 
   3.13695    1.93568    0.61589    0.00000 
   3.01531    2.04390    0.05569    0.00000 
   3.07116    1.96203    0.16155    0.00000 
   3.01205    1.89805    0.14939    0.00000 
   3.05209    2.06638    0.24931    0.00000 
   2.99652    2.17996    0.58589    0.00000 
   3.08428    1.96203    0.22984    0.00000 
   2.96439    2.08878    0.12247    0.00000 
   3.06010    1.94766    0.11874    0.00000 
   2.83152    1.92179    1.35090    0.00000 
   3.10026    1.85521    0.42762    0.00000 
   3.04459    1.96203    0.06482    0.00000 
   3.07116    1.96203    0.16155    0.00000 
   2.99603    1.94899    0.04780    0.00000 
   3.04459    1.96203    0.06482    0.00000 
   2.97249    2.04390    0.03701    0.00000 
   2.91904    2.08271    0.22313    0.00000 
   3.10026    1.86014    0.41580    0.00000 
   2.90719    2.02731    0.27168    0.00000 
   3.13695    1.93568    0.61589    0.00000 
   3.05984    1.95936    0.11390    0.00000 
   2.99044    2.04390    0.02840    0.00000 
   2.96439    2.08878    0.12247    0.00000 
   2.97249    2.06638    0.06835    0.00000 
   3.07116    1.85533    0.31933    0.00000 
   2.97249    2.06176    0.06040    0.00000 
   3.01564    2.04390    0.05637    0.00000 
   2.99369    1.85521    0.35201    0.00000 
   2.95659    2.04795    0.06707    0.00000 
   2.90719    1.92179    0.55209    0.00000 
   2.97644    2.08271    0.10205    0.00000 
   2.94381    2.04390    0.09888    0.00000 

Generation = 10

   2.91904    2.08271    0.22313    0.00000 
   2.97249    2.06638    0.06835    0.00000 
   2.95659    2.04377    0.06398    0.00000 
   2.99044    2.04390    0.02840    0.00000 
   2.95411    2.04401    0.06998    0.00000 
   2.95659    2.22954    0.86099    0.00000 
   2.92361    1.97361    0.26218    0.00000 
   2.89650    2.44530    3.54655    0.00000 
   3.13204    1.93818    0.57174    0.00000 
   3.05704    2.04390    0.20668    0.00000 
   3.04459    1.96203    0.06482    0.00000 
   2.97644    2.08271    0.10205    0.00000 
   3.04459    1.96203    0.06482    0.00000 
   2.97249    1.99088    0.03416    0.00000 
   3.07116    1.96203    0.16155    0.00000 
   2.97249    2.04390    0.03701    0.00000 
   3.05984    1.95936    0.11390    0.00000 
   3.04459    1.96203    0.06482    0.00000 
   2.83152    1.92179    1.35090    0.00000 
   2.97249    2.04390    0.03701    0.00000 
   3.07625    1.73901    0.85018    0.00000 
   2.99044    2.04390    0.02840    0.00000 
   2.97752    2.03994    0.02821    0.00000 
   3.10026    1.85521    0.42762    0.00000 
   2.95659    2.04795    0.06707    0.00000 
